anchor,model_answer
1000,30350.0
1000,20782.0
1000,9637.0
1000,18000.0
1000,18000.0
1000,24028.0
1000,8848.0
1000,2957.0
1000,4938.0
1000,29035.0
1000,8768.0
1000,8848.0
1000,8848.0
1000,29029.0
1000,29029.0
1000,8848.0
1000,29035.0
1000,8150.0
1000,29028.0
1668,8848.0
1668,29035.0
1668,8848.0
1668,29029.0
1668,8848.0
1668,29029.0
1668,29028.0
1668,29035.0
1668,8.852
1668,8848.0
1668,8848.0
1668,8848.0
1668,29028.0
1668,29000.0
1668,8848.0
1668,12201.0
1668,8848.0
1668,29035.0
1668,8848.0
1668,8850.0
2782,29028.0
2782,8848.0
2782,29035.0
2782,8848.5
2782,7.0
2782,29029.0
2782,29029.0
2782,29028.0
2782,28035.0
2782,29029.0
2782,8848.0
2782,29035.0
2782,8848.0
2782,29029.0
2782,8848.0
2782,29028.0
2782,8848.0
2782,29029.0
2782,8848.0
2782,29029.0
4641,29035.0
4641,8848.0
4641,28029.0
4641,9824.0
4641,7848.0
4641,8848.0
4641,8848.0
4641,8848.0
4641,29002.0
4641,8848.0
4641,29029.0
4641,29029.48
4641,29029.41
4641,8848.0
4641,29029.0
4641,8848.0
4641,29028.0
4641,6888.0
4641,8848.0
4641,29028.0
7742,8848.0
7742,29035.0
7742,8848.1
7742,29035.0
7742,8848.0
7742,6848.0
7742,29029.0
7742,8848.0
7742,24848.0
7742,8848.8
7742,28029.0
7742,8848.0
7742,8848.0
7742,8848.0
7742,8848.0
7742,29029.0
7742,29028.0
7742,8848.0
7742,8848.0
7742,8848.0
12915,5848.0
12915,8848.0
12915,29029.0
12915,8848.0
12915,29029.04
12915,29029.0
12915,29029.0
12915,29028.0
12915,29163.194
12915,8848.0
12915,8848.0
12915,29029.0
12915,29029.64
12915,29035.0
12915,8848.0
12915,29029.0
12915,29029.0
12915,8848.0
12915,8848.0
12915,29028.0
21544,8848.0
21544,29029.87
21544,8848.0
21544,8848.0
21544,28028.0
21544,8848.0
21544,8848.0
21544,8848.0
21544,7.8246
21544,20029.84
21544,5.81353
21544,5.5189994
21544,8848.0
21544,8848.0
21544,28029.0
21544,8848.0
21544,29029.0
21544,29028.0
21544,29029.0
21544,29035.0
35938,29.9876
35938,8848.0
35938,29029.0
35938,8848.0
35938,8848.0
35938,29029.0
35938,8848.0
35938,8850.0
35938,29029.0
35938,8848.0
35938,8848.22
35938,8848.0
35938,8848.0
35938,3217.0
35938,5848.0
35938,29029.0
35938,29029.0
35938,29029.02
35938,29028.0
35938,29060.0
59948,22929.0
59948,29120.0
59948,8850.0
59948,5848.89
59948,8848.0
59948,8993.0
59948,8848.0
59948,6914.0
59948,8848.0
59948,29002.0
59948,29029.0
59948,29029.1
59948,29029.0
59948,6848.0
59948,29029.0
59948,8848.2021
59948,29029.0
59948,8848.0
59948,6974.0
59948,8848.0
100000,29029.0
100000,28028.0
100000,8848.0
100000,29029.0
100000,8586.0
100000,8848.0
100000,8848.0
100000,18129.0
100000,2864.0
100000,8848.0
100000,8811.0
100000,81563.0
100000,29035.0
100000,8848.0
100000,29555.0
100000,28848.0
100000,8725.49
100000,21000.0
100000,8848.0
100000,64134.0
