id,url,title,resolution,close_time,number_of_predictions
744,https://www.metaculus.com/api2/questions/744/,Will there be a locally-transmitted case of the Zika virus in Singapore between 1 April 2018 and 31 May 2018?,0,2018-05-31T18:01:34Z,128
5749,https://www.metaculus.com/api2/questions/5749/,"Will a new variant of SARS-COV-2 that, due to a mutation, can infect people who had immunity to a previous variant, cause more than 10M infections globally by the end of 2021?",1,2021-06-30T21:00:00Z,776
183,https://www.metaculus.com/api2/questions/183/,Will Polarized 3D vision tech be used on self-driving cars by 2019?,0,2017-02-15T00:00:00Z,98
1336,https://www.metaculus.com/api2/questions/1336/,"Will there be a ""no-deal"" Brexit?",0,2018-12-31T23:00:00Z,343
3035,https://www.metaculus.com/api2/questions/3035/,Will Tulsi Gabbard drop out before the Hawaii primary?,1,2020-04-03T16:00:00Z,322
3776,https://www.metaculus.com/api2/questions/3776/,[Short fuse] Will Michael Bloomberg drop out before the March 13th?,1,2020-03-11T11:00:00Z,76
3252,https://www.metaculus.com/api2/questions/3252/,Will the Brexit Party win any seats at the next UK General Election?,0,2022-05-04T23:00:00Z,154
1567,https://www.metaculus.com/api2/questions/1567/,Will 2019 see the smallest extent of Arctic Sea ice in recorded history?,0,2019-02-13T01:00:00Z,148
48,https://www.metaculus.com/api2/questions/48/,"Will the US restore funding for research that creates more dangerous versions of Influenza, MERS and SARS?",0,2016-03-01T13:46:44Z,57
599,https://www.metaculus.com/api2/questions/599/,Will Donald Trump Jr. be charged with a crime by Father's Day 2018?,0,2018-02-15T08:00:00Z,193
10051,https://www.metaculus.com/api2/questions/10051/,Will the US sanction Russian oil or gas before 2023?,1,2022-08-31T23:33:00Z,586
8454,https://www.metaculus.com/api2/questions/8454/,Will implementation of â€œPlan Bâ€ be announced in the UK before 1 February 2022?,1,2022-01-01T17:00:00Z,83
1000,https://www.metaculus.com/api2/questions/1000/,Will Japan's Hayabusa2 spacecraft's lander or rovers successfully land on the asteroid Ryugu?,1,2018-07-15T07:00:00Z,137
978,https://www.metaculus.com/api2/questions/978/,Will California abolish daylight savings time by 2020?,0,2018-11-05T08:00:00Z,168
2793,https://www.metaculus.com/api2/questions/2793/,Will the current Ebola outbreak in the DRC be ongoing after February 2020?,1,2019-09-30T22:00:00Z,192
3671,https://www.metaculus.com/api2/questions/3671/,Will it turn out that Bloomberg manipulated 2020 election prediction markets?,0,2022-01-01T08:00:00Z,159
66,https://www.metaculus.com/api2/questions/66/,Will EVE Online die by 2020?,0,2018-03-15T22:17:00Z,127
