,num,prompt,answer,engine
0,0,"0
Question: Height of Mount Everest (in meters).
Answer:", 88,gpt-neo-20b
1,0,"0
Question: Height of Mount Everest (in meters).
Answer:", 88,gpt-neo-20b
2,0,"0
Question: Height of Mount Everest (in meters).
Answer:",48,gpt-neo-20b
3,0,"0
Question: Height of Mount Everest (in meters).
Answer:",48,gpt-neo-20b
4,0,"0
Question: Height of Mount Everest (in meters).
Answer:","
",gpt-neo-20b
5,0,"0
Question: Height of Mount Everest (in meters).
Answer:","
",gpt-neo-20b
6,0,"0
Question: Height of Mount Everest (in meters).
Answer:","
",gpt-neo-20b
7,0,"0
Question: Height of Mount Everest (in meters).
Answer:","
",gpt-neo-20b
8,0,"0
Question: Height of Mount Everest (in meters).
Answer:",A,gpt-neo-20b
9,0,"0
Question: Height of Mount Everest (in meters).
Answer:",A,gpt-neo-20b
10,0,"0
Question: Height of Mount Everest (in meters).
Answer:",:,gpt-neo-20b
11,0,"0
Question: Height of Mount Everest (in meters).
Answer:",:,gpt-neo-20b
12,0,"0
Question: Height of Mount Everest (in meters).
Answer:","
",gpt-neo-20b
13,0,"0
Question: Height of Mount Everest (in meters).
Answer:","
",gpt-neo-20b
14,0,"0
Question: Height of Mount Everest (in meters).
Answer:","
",gpt-neo-20b
15,0,"0
Question: Height of Mount Everest (in meters).
Answer:","
",gpt-neo-20b
16,0,"0
Question: Height of Mount Everest (in meters).
Answer:",The,gpt-neo-20b
17,0,"0
Question: Height of Mount Everest (in meters).
Answer:",The,gpt-neo-20b
18,0,"0
Question: Height of Mount Everest (in meters).
Answer:", problem,gpt-neo-20b
19,0,"0
Question: Height of Mount Everest (in meters).
Answer:", problem,gpt-neo-20b
20,0,"0
Question: Height of Mount Everest (in meters).
Answer:", 88,gpt-neo-20b
21,0,"0
Question: Height of Mount Everest (in meters).
Answer:", 88,gpt-neo-20b
22,0,"0
Question: Height of Mount Everest (in meters).
Answer:",48,gpt-neo-20b
23,0,"0
Question: Height of Mount Everest (in meters).
Answer:",48,gpt-neo-20b
24,0,"0
Question: Height of Mount Everest (in meters).
Answer:","
",gpt-neo-20b
25,0,"0
Question: Height of Mount Everest (in meters).
Answer:","
",gpt-neo-20b
26,0,"0
Question: Height of Mount Everest (in meters).
Answer:","
",gpt-neo-20b
27,0,"0
Question: Height of Mount Everest (in meters).
Answer:","
",gpt-neo-20b
28,0,"0
Question: Height of Mount Everest (in meters).
Answer:",A,gpt-neo-20b
29,0,"0
Question: Height of Mount Everest (in meters).
Answer:",A,gpt-neo-20b
30,0,"0
Question: Height of Mount Everest (in meters).
Answer:",:,gpt-neo-20b
31,0,"0
Question: Height of Mount Everest (in meters).
Answer:",:,gpt-neo-20b
32,0,"0
Question: Height of Mount Everest (in meters).
Answer:","
",gpt-neo-20b
33,0,"0
Question: Height of Mount Everest (in meters).
Answer:","
",gpt-neo-20b
34,0,"0
Question: Height of Mount Everest (in meters).
Answer:","
",gpt-neo-20b
